XML_ID;NAME;ID;PROP_PET_BIRTHDAY;PROP_PET_CATEGORY;PROP_PET_SEX;PROP_USER_ID;PROP_PET_BREED;PROP_PET_BREED_OTHER;PROP_PET_PHOTO
11190772;Микки ;11190772;;10687;10890418;1395171;10963120;;/upload/iblock/c08/c0857a898172a6de33dd999fe95fab9b.jpg
11192140;Рикки;11192140;23.03.2017;10687;10890412;2634899;10963246;;
11192608;Суп;11192608;03.01.2017;10666;10890412;1476123;10962925;;/upload/iblock/9e2/9e293bc02a6ba059cc3bfba7a4b1db10.jpg
11192818;Буся❤️;11192818;04.06.2017;10672;10890418;2306787;10962961;;/upload/iblock/c35/c352308ffd788bbb730fc1a97f7ece8d.jpg
11193979;МИЛКА ;11193979;26.06.2017;10672;10890418;2195610;10962973;;/upload/iblock/3d4/3d4d578ae551efd0276d83a2be61477f.jpg
11194111;Лев;11194111;11.08.2016;10672;10890412;1135874;10962943;;/upload/iblock/55c/55c2e52f8b5ed029380b05fec0e0a77a.jpg
11194813;Ричи;11194813;28.02.2013;10687;10890412;67865;10963120;;/upload/iblock/840/8407034450fc7633857c10f529bc9304.jpg
11194879;Муся ;11194879;17.07.2004;10672;10890418;2611355;10963042;;/upload/iblock/f2d/f2d8503e8e3d1bab0473a6b0df277d95.jpg
11194879;Муся ;11194879;17.07.2004;10672;10890418;2611355;10963042;;/upload/iblock/9b4/9b42495cdb1049f9bb44cdd04db55e55.jpg
11195329;Пифик;11195329;21.02.2007;10687;10890412;2740513;10963288;;/upload/iblock/031/031eb22da9fc178455593512665a9cd7.jpg
11195329;Пифик;11195329;21.02.2007;10687;10890412;2740513;10963288;;/upload/iblock/447/4475b52410e36146e9c53c43bd9ac620.jpg
11195884;Май;11195884;26.03.2011;10687;10890412;2704657;10963339;;/upload/iblock/928/928175b46c9ff82d6821e4f0a1e8a23b.jpg
11196109;Ева;11196109;05.09.2017;10672;10890418;2609307;10962961;;/upload/iblock/a3c/a3c9a7a07cf5269ed35ce86906646f72.jpg
11196298;Пуша;11196298;21.06.2016;10672;10890418;524883;10962985;;/upload/iblock/ddf/ddf4b3f9b58bda478feb3aad63aa2dcd.jpg
11196448;Герда;11196448;05.11.2017;10672;10890418;2704657;10962973;;/upload/iblock/4b4/4b4be0bda40dd649f5fd2aaf438e1cdc.jpg
11196457;Чиф ;11196457;27.02.2017;10687;10890412;1947088;10963222;;/upload/iblock/90c/90c54d8a18bf7f420c0a42a133c4f406.jpg
11196457;Чиф ;11196457;27.02.2017;10687;10890412;1947088;10963222;;/upload/iblock/a28/a2858389ff905108f10875b80967778d.jpg
11196457;Чиф ;11196457;27.02.2017;10687;10890412;1947088;10963222;;/upload/iblock/78f/78f62327735c0f4b4fea4f8d336bca62.jpg
11196832;Мотя;11196832;05.04.2015;10666;10890412;2156874;10962940;;/upload/iblock/ad3/ad3d1749a2165663563af1a93d6cdf27.jpg
11196916;Бэкки ;11196916;04.12.2013;10666;10890418;2156874;10962940;;/upload/iblock/4e3/4e322056453cd3989140ea1747e64dd9.jpg
11196955;Энрике;11196955;13.11.2016;10687;10890412;1320540;10963222;;/upload/iblock/3d8/3d819b6fd676d69572c747ad3e274310.jpg
11197081;Муся ;11197081;14.04.2005;10672;10890418;1320540;10963024;;/upload/iblock/30f/30fcd9a7dd05b2ea2f04f50c97f76f91.jpg
11197243;Моника ;11197243;19.05.2017;10687;10890418;2742007;10963132;;/upload/iblock/0f2/0f212426b668b366a5b23af29d9c66e6.jpg
11197459;Тима;11197459;01.03.2017;10672;10890412;2742007;10962943;;/upload/iblock/798/798209af8147a63d040ed4d2fb383185.jpg
11197912;Черчилль;11197912;13.02.2017;10672;10890412;1952016;10963015;;/upload/iblock/528/5282528b3ca5f6dd0ec66b327caa21c0.jpg
11198215;Arman Pride Xenia;11198215;25.05.2017;10672;10890418;2749627;10963015;;/upload/iblock/19f/19fca559c5187a4649f0c5273c0c82c8.jpg
11198284;Джек;11198284;10.03.2015;10687;10890412;81227;11142;помесь шарпея и дворняжки;/upload/iblock/0ca/0caf50bd4086ffd880c8889f5192c8f8.jpg
11198464;Арчи ;11198464;20.09.2012;10687;10890412;70181;10963237;;/upload/iblock/07b/07b451d6592891eef153b5bf294778a2.jpg
11198503;Петушок, гуппи ;11198503;;10702;;70181;10963378;;/upload/iblock/492/492424461853b445f1bbdbebd1aace3c.jpg
11198974;Василиса Мейсоновна;11198974;04.05.2016;10672;10890418;51;0;домашняя лохматая;/upload/iblock/e6a/e6a6fcd74a23b9b574e7c4d831171f14.jpg
11198974;Василиса Мейсоновна;11198974;04.05.2016;10672;10890418;51;0;домашняя лохматая;/upload/iblock/644/6441ef5d474908b2142e4b260043d3ac.jpg
11199373;Бенедикт;11199373;01.11.2016;10672;10890412;11461;10962943;;/upload/iblock/45c/45ccf2c635aecfbd13a5b5feb2375cc3.jpg
11199643;Amadeus Hakuna Matata ;11199643;30.01.2015;10672;10890412;177511;10962952;;/upload/iblock/b21/b21bc36fc31c1fd983ed8c9e67490d01.jpg
11199727;Матильда;11199727;04.09.2013;10672;10890418;12776;10963051;;/upload/iblock/a98/a983ba7c4c58c35eac8a2b1b851d1d75.jpg
11199727;Матильда;11199727;04.09.2013;10672;10890418;12776;10963051;;/upload/iblock/21c/21cf08c16549634cad6755cbd8bc3c09.jpg
11200039;Чиро;11200039;05.06.2017;10687;10890412;2238921;10963309;;/upload/iblock/647/647924aebec88caf2e7f3c97c80434ac.jpg
11200039;Чиро;11200039;05.06.2017;10687;10890412;2238921;10963309;;/upload/iblock/a6a/a6aeacf721dea169d9ea6654f78b0034.jpg
