name;country;address;address-add;phone;url;rubric-id;working-time;lat;lon;name,country,address,address-add,phone,url,rubric-id,working-time,lat,lon
Четыре Лапы;Россия;Москва, ул. Совхозная, д. 39;Люблино;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.673848909253;37.760662109799;
Четыре Лапы;Россия;Москва, ул. Шоссейная, д. 1/2, стр. 4;Сирень;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.691709759166;37.728188139881;
Четыре Лапы;Россия;Москва, ул. Борисовские Пруды, д. 26;Ключевой;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.640085866643;37.758158702016;
Четыре Лапы;Россия;Москва, ул. Кустанайская, д. 6;Столица;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.619513032908;37.752274736905;
Четыре Лапы;Россия;Москва, ул. Домодедовская, д. 28;Белград;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 21:00;55.60483241591;37.712447084223;
Четыре Лапы;Россия;Москва, Пролетарский пр-т, д. 30;Ашан;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 22:00;55.63083983017;37.658465057139;
Четыре Лапы;Россия;Москва, ул. Мастеркова, д. 1;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.709969970473;37.658829509315;
Четыре Лапы;Россия;Москва, Тишинская пл., д. 1;Тишинка;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.769261857791;37.583083821426;
Четыре Лапы;Россия;Москва, Митино 7-км Пятницкого шоссе, вл. 2;Отрада;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.875954874286;37.332015425535;
Четыре Лапы;Россия;Москва, ул. Твардовского, д. 2/4, стр. 1;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.798853999823;37.389792542328;
Четыре Лапы;Россия;Москва, Осенний б-р, д. 12;Крылатский;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.759207751518;37.409203766865;
Четыре Лапы;Россия;Москва, Рублевское ш., д. 28, к. 1;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.746892394965;37.421252173611;
Четыре Лапы;Россия;Москва, ул. Уссурийская, д. 9;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.823813841257;37.818955271164;
Четыре Лапы;Россия;Москва, б-р Дмитрия Донского, д. 2, стр. 1;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.570253456355;37.575822584223;
Четыре Лапы;Россия;Протвино, ул. Ленина, д. 22;Слава;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 21:00;54.873587337336;37.220579999999;
Четыре Лапы;Россия;Москва, ул. Ак. Туполева, д. 2;Торговый город;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 20:00;55.41666525209;37.835467958913;
Четыре Лапы;Россия;Видное, д. 2;Эко Видное;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.537049461459;37.721804268422;
Четыре Лапы;Россия;Москва, ул. Теплый Стан, д. 10;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.629236201318;37.485775669312;
Четыре Лапы;Россия;Нижний Новгород, Южное шоссе, д. 35;Перекресток;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 22:00;56.228102515046;43.863707476571;
Четыре Лапы;Россия;Москва, ул. Покровская, 20;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.701894343102;37.931620042328;
Четыре Лапы;Россия;Москва, ул. Чертановская, д. 63к2;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.596798157402;37.588862203571;
Четыре Лапы;Россия;Москва, Варшавское ш., д. 152;Сомбреро;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.594586611207;37.599192806355;
Четыре Лапы;Россия;Москва, ул. Б. Тульская, д. 2;Корабль;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.710215371339;37.620374324745;
Четыре Лапы;Россия;Москва, ул. Перовская, д. 32, стр. 1;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.745375718232;37.774977158984;
Четыре Лапы;Россия;Москва, ул. Саянская, д. 7;Саяны;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.768065758419;37.831985991402;
Четыре Лапы;Россия;Москва, ул. Вешняковская, д. 17А;Океан;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.734627895417;37.830742576973;
Четыре Лапы;Россия;Москва, Чечерский пр-д, д. 51;Бутово Молл;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.524233253863;37.518234787303;
Четыре Лапы;Россия;Москва, ул. Южнобутовская, д. 97;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.534428788322;37.520612588955;
Четыре Лапы;Россия;Москва, ул. Скобелевская, д. 14;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.549087794017;37.55424982209;
Четыре Лапы;Россия;Москва, Боровское ш., д. 35;Петровский;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.641365644906;37.35975149723;
Четыре Лапы;Россия;Москва, ул. Озерная, д. 50;Карусель;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 21:00;55.66453179499;37.437448554992;
Четыре Лапы;Россия;Балашиха, ш. Энтузиастов, д. 80;МаксСити;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.797963636892;37.98569298033;
Четыре Лапы;Россия;Балашиха, ул. Свердлова, д. 26;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.824472145945;37.971514167278;
Четыре Лапы;Россия;Балашиха, ул. Третьяка, д. 8;Атак;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.823085829626;37.951840306884;
Четыре Лапы;Россия;Балашиха, ул. Балашихинское ш., д. 10;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.822724761219;37.932845187836;
Четыре Лапы;Россия;Балашиха, ул. Центральная, вл. 40;Эдельвейс;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.751598611651;37.95593277911;
Четыре Лапы;Россия;Быково, ул. Советская, д. 11;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.625455264077;38.069389015352;
Четыре Лапы;Россия;Видное, д. 10;Курс;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.551506993679;37.702346373413;
Четыре Лапы;Россия;Видное», ул. Берёзовая, д. 9;Виктория;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 -22:00;55.541893886122;37.722377865002;
Четыре Лапы;Россия;Владимир, Суздальский пр-т, д. 28;Глобус;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 9:00 - 22:00;56.175501779693;40.459275980376;
Четыре Лапы;Россия;Владимир, Московское ш., д. 2;Лента;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;56.113220472837;40.334419139036;
Четыре Лапы;Россия;Владимир, ул. Гагарина, д. 5;Гагаринский;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 -21:00;56.131100770995;40.401914784378;
Четыре Лапы;Россия;Москва, Новорязанское ш, д. 11;Глобус;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 22:00;55.65805646798;37.885187336867;
